TIPO_ARCHIVO|ARCHIVO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Vistas|SQLAExport1437.txt|REPLACE VIEW|ARMVIEWS|RMS_TARJETAS_EVEREST|ARMVIEWS|RMA_PARTY_A
Vistas|SQLAExport1437.txt|REPLACE VIEW|ARMVIEWS|RMS_TARJETAS_EVEREST|ARMVIEWS|RMA_DISPONIBLE_TDC_A
Vistas|SQLAExport1437.txt|REPLACE VIEW|ARMVIEWS|RMS_TARJETAS_EVEREST|ARMVIEWS|RMS_TELEFONOS_A
Vistas|SQLAExport1437.txt|REPLACE VIEW|ARMVIEWS|RMS_TARJETAS_EVEREST|ARMVIEWS|RMS_PARTY_RENTA_A
Vistas|SQLAExport1437.txt|REPLACE VIEW|ARMVIEWS|RMS_TARJETAS_EVEREST|ARMVIEWS|RMA_CONDICION_CURSE_TCR_A
Vistas|SQLAExport1437.txt|REPLACE VIEW|ARMVIEWS|RMS_TARJETAS_EVEREST|ARMVIEWS|RMA_PLANES_A
Vistas|SQLAExport1438.txt|CREATE VIEW|ARMVIEWS|RMA_CRM_GESTIONES_SMALLCORE_A|ARMVIEWS|RMU_CRM_GESTIONES_SMALLCORE_A
Vistas|SQLAExport1439.txt|REPLACE VIEW|ARMVIEWS|RMS_CANAL_REMOTO_A|Edw_Va|MDT_CNL
Vistas|SQLAExport144.txt|REPLACE VIEW|ARMVIEWS|FT_EJECUCIONES|ARMCORE|CR_RUN
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|CAMPAIGN
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|BCI_CAMPAIGN_RUN
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|CAMPAIGN_COLLECTION
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|CAMPAIGN_PARTY
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|BCI_CAMPAIGN_PARTY_CHANNEL
Vistas|SQLAExport1440.txt|REPLACE VIEW|ARMVIEWS|RMU_CAMPANAS_FSLDM_A_1170630|EDW_VW|CAMPAIGN_CHANNEL
